date,link,price,title
Dec 29,https://newyork.craigslist.org/que/reb/d/astoria-offer-for-sale-by-the-owner/7039191787.html,$0,OFFER FOR SALE BY THE OWNER COMMERCIAL PROPERTY ON BROADWAY ASTORIA NY
Dec 29,https://newyork.craigslist.org/brx/reo/d/bronx-3-bedroom-available-for-rent/7033072829.html,$2000,3 BEDROOM AVAILABLE FOR RENT
Dec 29,https://newyork.craigslist.org/mnh/reo/d/new-york-w109-broadway-large-and-clean/7046253077.html,$2400,W109@ BROADWAY. Large and clean 2 bedroom apartment .
Dec 29,https://newyork.craigslist.org/wch/reo/d/stony-point-advertising-for-your/7029977443.html,$0,Advertising for your business- 48 ft billboard
Dec 29,https://newyork.craigslist.org/mnh/reb/d/am-looking-for-an-private-money-investor/7029977408.html,$0,I am looking for an private money investor
Dec 29,https://newyork.craigslist.org/que/reb/d/rego-park-brand-new-2-bdrm-sponsor-apt/7046251773.html,$400000,BRAND NEW 2 BDRM SPONSOR APT  INCLUDES UTILITIES!
Dec 29,https://newyork.craigslist.org/wch/reo/d/stony-point-advertising-for-your/7043193942.html,$0,Advertising for your business- 48 ft billboard
Dec 29,https://newyork.craigslist.org/que/reb/d/rego-park-brand-new-2-bdrm-sponsor-apt/7046251560.html,$400000,BRAND NEW 2 BDRM SPONSOR APT  INCLUDES UTILITIES!
Dec 29,https://newyork.craigslist.org/que/reb/d/rego-park-brand-new-2-bdrm-sponsor-apt/7046251361.html,$400000,BRAND NEW 2 BDRM SPONSOR APT  INCLUDES UTILITIES!
Dec 29,https://newyork.craigslist.org/que/reo/d/forest-hills-forest-hills-one-large/7041768252.html,$325000,"Forest Hills One Large Bedroom (820 SQFT) for Sales $325,000"
Dec 29,https://newyork.craigslist.org/mnh/reb/d/new-york-unlimited-sublet-midtown-west/7038842405.html,$450000,UNLIMITED SUBLET-MIDTOWN WEST ALOVE STUDIO
Dec 29,https://newyork.craigslist.org/mnh/reb/d/new-york-co-ops-underpriced-with-open/7033941738.html,$400000,Co-ops> UNDERPRICED WITH OPEN VIEWS
Dec 29,https://newyork.craigslist.org/mnh/reo/d/new-york-4k-poe-ip-security-camera/7033470381.html,$0,📹4K POE IP SECURITY CAMERA SYSTEMS WITH NVR HOME VIDEO📹
Dec 29,https://newyork.craigslist.org/mnh/reo/d/effie-4k-poe-ip-security-camera-systems/7033471981.html,$0,++ 4K POE IP SECURITY CAMERA SYSTEMS WITH NVR HOME VIDEO ++
Dec 29,https://newyork.craigslist.org/jsy/reo/d/jersey-city-2-bedroom-apartment-2-baths/7046248252.html,$3600,"2 Bedroom APARTMENT, 2 Baths + Exclusive deck at Grove St PATH station"
Dec 29,https://newyork.craigslist.org/mnh/reb/d/25-tudor-city-great-views/7042874500.html,$339000,25 TUDOR CITY-GREAT VIEWS
Dec 29,https://newyork.craigslist.org/mnh/reb/d/5-tudor-city-great-views/7042879965.html,$339000,5 TUDOR CITY-GREAT VIEWS
Dec 29,https://newyork.craigslist.org/brx/reo/d/scranton-2-br-fixer-close-to-penn-state/7030051896.html,$25000,2 BR Fixer close to Penn State Univ.
Dec 29,https://newyork.craigslist.org/stn/reo/d/scranton-2-br-fixer-close-to-penn-state/7030051696.html,$25000,2 BR Fixer close to Penn State Univ.
Dec 29,https://newyork.craigslist.org/jsy/reo/d/scranton-2-br-fixer-close-to-penn-state/7030051456.html,$25000,2 BR Fixer close to Penn State Univ.
Dec 29,https://newyork.craigslist.org/wch/reo/d/scranton-2-br-fixer-close-to-penn-state/7030049976.html,$25000,2 BR Fixer close to Penn State Univ.
Dec 29,https://newyork.craigslist.org/brk/reo/d/scranton-2-br-fixer-close-to-penn-state/7030049802.html,$25000,2 BR Fixer close to Penn State Univ.
Dec 29,https://newyork.craigslist.org/que/reo/d/forest-hills-forest-hills-one-large/7041521636.html,$325000,"Forest Hills One Large Bedroom (820 SQFT) for Sales $325,000"
Dec 29,https://newyork.craigslist.org/que/reo/d/scranton-2-br-fixer-close-to-penn-state/7030049602.html,$25000,2 BR Fixer close to Penn State Univ.
Dec 29,https://newyork.craigslist.org/mnh/reo/d/scranton-2-br-fixer-close-to-penn-state/7030049352.html,$25000,2 BR Fixer close to Penn State Univ.
Dec 29,https://newyork.craigslist.org/mnh/reo/d/kingsbridge-heights-bailey-avenue-bed-1/7032648069.html,$1557,"Kingsbridge Heights     Bailey Avenue $1,695       2bed     1 Bath    "
Dec 29,https://newyork.craigslist.org/mnh/reo/d/showing-until-9pm/7032999186.html,$1863,Showing UNTIL 9PM 💓💓💓💓
Dec 29,https://newyork.craigslist.org/mnh/reo/d/kingsbridge-heights-bailey-avenue-bed-1/7043157963.html,$1577,"Kingsbridge Heights     Bailey Avenue $1,695       2bed     1 Bath    "
Dec 29,https://newyork.craigslist.org/mnh/reo/d/kingsbridge-heights-bailey-avenue-bed-1/7043157129.html,$1557,"Kingsbridge Heights     Bailey Avenue $1,695       2bed     1 Bath    "
Dec 29,https://newyork.craigslist.org/mnh/reo/d/showing-until-9pm/7043160520.html,$1863,Showing UNTIL 9PM 💓💓💓💓
Dec 29,https://newyork.craigslist.org/mnh/reo/d/happy-holidays-today-until-9pm-all-over/7040727233.html,$2550,Happy Holidays TODAY UNTIL 9PM - ALL OVER the 5 boroughs
Dec 29,https://newyork.craigslist.org/mnh/reo/d/showing-until-9pm/7043155212.html,$1863,Showing UNTIL 9PM 💓💓💓💓
Dec 29,https://newyork.craigslist.org/mnh/reo/d/kingsbridge-heights-bailey-avenue-bed-1/7040731669.html,$1557,"Kingsbridge Heights     Bailey Avenue $1,695       2bed     1 Bath    "
Dec 29,https://newyork.craigslist.org/mnh/reo/d/showing-until-5pm/7042971518.html,$1863,Showing UNTIL 5PM 💓💓💓💓
Dec 29,https://newyork.craigslist.org/mnh/reo/d/showing-until-9pm/7032999721.html,$1863,Showing UNTIL 9PM 💓💓💓💓
Dec 29,https://newyork.craigslist.org/mnh/reo/d/get-movin/7033000004.html,$999,Get movin
Dec 29,https://newyork.craigslist.org/mnh/reo/d/get-movin/7033000340.html,$999,Get movin
Dec 29,https://newyork.craigslist.org/mnh/reo/d/kingsbridge-heights-bailey-avenue-bed-1/7032998410.html,$1577,"Kingsbridge Heights     Bailey Avenue $1,695       2bed     1 Bath    "
Dec 29,https://newyork.craigslist.org/mnh/reo/d/kingsbridge-heights-bailey-avenue-bed-1/7045059801.html,$1577,"Kingsbridge Heights     Bailey Avenue $1,695       2bed     1 Bath    "
Dec 29,https://newyork.craigslist.org/brx/reb/d/bronx-id-pab-beautiful-and-newly/7042429260.html,$275000,ID #: (PAB) Beautiful and Newly Painted One Bedroom Co-Op for Sale
Dec 29,https://newyork.craigslist.org/brk/reo/d/see-from-9am-to-9pm/7030318249.html,$1657,See from 9am to 9pm
Dec 29,https://newyork.craigslist.org/brk/reo/d/kwe-will-help-you-move-in-all-5-boroughs/7030066366.html,$1557,KWe will help you move in all 5 boroughs
Dec 29,https://newyork.craigslist.org/brk/reo/d/see-from-9am-to-9pm/7030542432.html,$1657,See from 9am to 9pm
Dec 29,https://newyork.craigslist.org/brk/reo/d/321-new-place/7030054934.html,$1480,💖💖💖321 new place💖💖
Dec 29,https://newyork.craigslist.org/brk/reo/d/see-from-9am-to-9pm/7030054589.html,$1657,See from 9am to 9pm
Dec 29,https://newyork.craigslist.org/brk/reo/d/the-perfect-move/7030542381.html,$1557,The perfect move
Dec 29,https://newyork.craigslist.org/brk/reo/d/we-will-help-you-move-in-all-5-boroughs/7029992586.html,$1557,We will help you move in all 5 boroughs
Dec 29,https://newyork.craigslist.org/brk/reo/d/the-perfect-move/7032638994.html,$1557,The perfect move
Dec 29,https://newyork.craigslist.org/brk/reo/d/move-in-by-the-15thguarenteed-west/7032643243.html,$1557,Move in by the 15th.guarenteed!!!!!!! - WEST 106TH ST
Dec 29,https://newyork.craigslist.org/brk/reo/d/321-new-place/7030071324.html,$1480,💖💖💖321 new place💖💖
Dec 29,https://newyork.craigslist.org/brk/reo/d/we-will-help-you-move-in-all-5-boroughs/7030542347.html,$1557,We will help you move in all 5 boroughs
Dec 29,https://newyork.craigslist.org/brk/reo/d/200-apartments-all-over/7030054058.html,$1480,🎆🎇🎆🎇200+ APARTMENTS ALL OVER
Dec 29,https://newyork.craigslist.org/brk/reo/d/the-perfect-move/7030058469.html,$1557,The perfect move
Dec 29,https://newyork.craigslist.org/brk/reo/d/new-york-the-perfect-move-for-the/7029992899.html,$1585,The perfect move For the holidays
Dec 29,https://newyork.craigslist.org/brk/reo/d/we-will-help-you-move-in-all-5-boroughs/7030063611.html,$1557,We will help you move in all 5 boroughs
Dec 29,https://newyork.craigslist.org/brk/reo/d/the-perfect-move/7030060900.html,$1557,The perfect move
Dec 29,https://newyork.craigslist.org/brk/reo/d/brooklyn-prime-4-mixed-use-sunset-park/7046237804.html,$0,Prime 4 mixed use sunset Park properties for sale Industry city area
Dec 29,https://newyork.craigslist.org/brk/reo/d/200-apartments-all-over/7030542577.html,$1480,🎆🎇🎆🎇200+ APARTMENTS ALL OVER
Dec 29,https://newyork.craigslist.org/que/reb/d/rego-park-huge-renovated-3-bdrm-15-bath/7046245957.html,$5550000,Huge Renovated 3 Bdrm 1.5 Bath Apt w/Terrace!
Dec 29,https://newyork.craigslist.org/brk/reo/d/west-202nd-st-immediate-availability/7038526583.html,$1660,West 202nd st .  Immediate Availability
Dec 29,https://newyork.craigslist.org/brk/reo/d/immediate-availability-for-this-studio/7038527142.html,$1660,Immediate Availability for this studio
Dec 29,https://newyork.craigslist.org/brk/reo/d/immediate-availability-for-this-2br/7032542819.html,$1660,Immediate Availability for this 2br
Dec 29,https://newyork.craigslist.org/que/reb/d/whitestone-id-pao-beautiful-1-family/7042429552.html,$799000,ID #: (PAO) Beautiful 1 Family Cape House for Sale in Whitestone
Dec 29,https://newyork.craigslist.org/lgi/reo/d/new-york-city-good-bad-or-no-credit-no/7030543503.html,$1557,"Good, bad or no credit.  No problem.  300+ NEW Apartments. "
Dec 29,https://newyork.craigslist.org/lgi/reo/d/your-studio-is-ready-west-149th-st/7030544178.html,$1200,Your studio is ready West 149th st
Dec 29,https://newyork.craigslist.org/brk/reo/d/brooklyn-price-to-sell-by-owner-2/7044217481.html,$980000,"Price to sell by owner, 2 family gut renovation needed"
Dec 29,https://newyork.craigslist.org/que/reb/d/rego-park-renovated-1-bdrm-apt-in/7046245323.html,$1850,Renovated 1 Bdrm Apt In Private House
Dec 29,https://newyork.craigslist.org/que/reo/d/new-york-city-utilities-included/7037210088.html,$1899,Utilities included
Dec 29,https://newyork.craigslist.org/que/reb/d/whitestone-id-maz-spacious-brick-ranch/7042430459.html,$899000,ID #: (MAZ) Spacious Brick Ranch House for Sale in Whitestone
Dec 29,https://newyork.craigslist.org/que/reb/d/bayside-id-arm-spacious-pear-tree-2nd/7042436897.html,$348000,ID# (ARM) Spacious Pear Tree 2nd Floor Unit
Dec 29,https://newyork.craigslist.org/que/reb/d/ridgewood-id-dis-wonderful-four-family/7042443238.html,$1499000,ID #: (DIS) Wonderful Four Family House for Sale in Ridgewood
Dec 29,https://newyork.craigslist.org/que/reb/d/bayside-id-pav-new-construction-2/7042430790.html,$2498000,ID #:(PAV) New Construction 2 Family House for Sale
Dec 29,https://newyork.craigslist.org/que/reb/d/flushing-id-ela-lovely-tudor-style/7040991644.html,$1388000,ID #: ELA Lovely Tudor Style Stucco Home Features 3 Bedrooms
Dec 29,https://newyork.craigslist.org/que/reb/d/glen-oaks-id-bec-beautiful-3-bedroom/7042448252.html,$869888,ID #: (BEC) Beautiful 3 Bedroom Ranch Home for Sale
Dec 29,https://newyork.craigslist.org/que/reb/d/whitestone-id-arg-beautiful-three/7042429837.html,$1330000,ID #: (ARG) Beautiful Three Bedrooms Colonial for Sale in Whitestone
Dec 29,https://newyork.craigslist.org/que/reb/d/whitestone-id-kei-beautiful-whitestone/7042458029.html,$940000,ID #: (KEI) Beautiful Whitestone Brick Raised Ranch for Sale
Dec 29,https://newyork.craigslist.org/que/reb/d/ridgewood-id-can-charming-3-family-house/7042438038.html,$1288000,ID #: (CAN) Charming 3 Family House
Dec 29,https://newyork.craigslist.org/jsy/reo/d/union-city-great-location-you-cant-miss/7031628781.html,$1350,Great location you can't miss!! No Broker fee!
Dec 29,https://newyork.craigslist.org/que/reb/d/ridgewood-id-gal-two-family-semi/7042455453.html,$779000,ID #: (GAL) Two Family Semi-Detached Colonial
Dec 29,https://newyork.craigslist.org/que/reb/d/bronx-id-good-great-corner-property-for/7042466546.html,$800000,ID #: (GOOD) Great Corner Property for Sale in Beechhurst
Dec 29,https://newyork.craigslist.org/wch/reb/d/yonkers-4-bedroom-2-bath-near-getty/7046224593.html,$2600,***4 Bedroom 2 Bath Near Getty Square***
Dec 29,https://newyork.craigslist.org/brk/reb/d/brooklyn-2-family-solid-brick/7046243357.html,$1558888,"2 family, solid brick"
Dec 29,https://newyork.craigslist.org/jsy/reo/d/jersey-city-studiogrove-street-path/7046243228.html,$1895,STUDIO@Grove Street PATH train station
Dec 29,https://newyork.craigslist.org/brx/reo/d/beautiful-2br-apt-availno-credit-check/7046219130.html,$1800,Beautiful 2br  APT AVAIL..no credit check
Dec 29,https://newyork.craigslist.org/que/reo/d/forest-hills-forest-hills-one-large/7041769178.html,$325000,"Forest Hills One Large Bedroom (820 SQFT) for Sales $325,000"
Dec 29,https://newyork.craigslist.org/que/reb/d/middle-village-real-money-maker-for-29/7032026091.html,$2900000,REAL MONEY MAKER FOR $2.9 MILLION
Dec 29,https://newyork.craigslist.org/brk/reb/d/brooklyn-2647-brown-st/7046241848.html,$1280000,2647 Brown St
Dec 29,https://newyork.craigslist.org/brk/reb/d/brooklyn-2-bedrooms-and-2-full-bathrooms/7046240840.html,$750000,2 bedrooms and 2 full bathrooms
Dec 29,https://newyork.craigslist.org/brk/reo/d/brooklyn-build-able-sf-zoning-c2-4-r7a/7046239828.html,$2899000,Build-able 15000 SF/Zoning C2-4/R7A/Res Far 4.6
Dec 29,https://newyork.craigslist.org/brk/reo/d/brooklyn-bushwick-gr-eat-location-3/7043248536.html,$1299000,Bushwick/Gr eat Location-3 Story 6 Family Brick
Dec 29,https://newyork.craigslist.org/brk/reo/d/brooklyn-renovated-bed-stybrick-2/7043248384.html,$1299000,"Renovated-Bed Sty""Brick-2 Residential-1 Store-3 Story Mixed Use"
Dec 29,https://newyork.craigslist.org/brk/reo/d/brooklyn-renovated-bed-stybrick-2/7043248284.html,$1299000,"Renovated-Bed Sty""Brick-2 Residential-1 Store-3 Story Mixed Use"
Dec 29,https://newyork.craigslist.org/stn/reb/d/brooklyn-23-steuben-street-jacob/7046239536.html,$458000,23 Steuben Street   Jacob
Dec 29,https://newyork.craigslist.org/brk/reo/d/brooklyn-franklin-ave-vacant-4-story-4/7046239532.html,$1849000,Franklin Ave/Vacant 4 Story 4 Family Brick !!
Dec 29,https://newyork.craigslist.org/brk/reo/d/brooklyn-prospect-lefferts-gdns-bedford/7030044867.html,$2825000,"Prospect Lefferts Gdns/Bedford Ave"" 4 Story 8 Family 2 BR Each"
Dec 29,https://newyork.craigslist.org/brk/reo/d/brooklyn-bed-stybrownstone-3-story-4/7031741023.html,$1449000,"Bed Sty""Brownstone"" 3 Story 4 Family"
Dec 29,https://newyork.craigslist.org/brk/reo/d/brooklyn-bushwick-great-location-3/7031741438.html,$1299000,Bushwick/Great Location-3 Story 6 Family Brick
